# MYU0 SystemMessage_EN.tbin RUS utf-8
# rows=222 cols=1 field3=0x1F
# row	col	enc	text
86	0	utf-8	Пройдено сетов из 5
87	0	utf-8	Пройдено сетов из 8
88	0	utf-8	Игрок Б&Б
89	0	utf-8	Рекорд
90	0	utf-8	Ранг
91	0	utf-8	Дружба
92	0	utf-8	Гады напарника убиты
93	0	utf-8	Напарник перебил гадов
94	0	utf-8	Подкопов напарнику
95	0	utf-8	Подкопов от напарника
96	0	utf-8	Сделано свалок
97	0	utf-8	○: назад
98	0	utf-8	Раз
99	0	utf-8	~
100	0	utf-8	~
101	0	utf-8	Бэдмен и Бэдмелла (3 эт.)
102	0	utf-8	Бэдмен и Бэдмелла (5 эт.)
103	0	utf-8	Бэдмен и Бэдмелла (8 эт.)
104	0	utf-8	↑↓ выбор  ×: OK  ○: назад
105	0	utf-8	○: назад
106	0	utf-8	Выбор кирки
107	0	utf-8	Выбор монстра
108	0	utf-8	Готово!
109	0	utf-8	↑↓ выбор  ×: OK  ○: назад
110	0	utf-8	↑↓←→ выбор  ×: взять  ○: назад
111	0	utf-8	Взять
112	0	utf-8	Слуга
113	0	utf-8	Бэдмен
114	0	utf-8	Бэдмелла
115	0	utf-8	START: старт  ○: назад
116	0	utf-8	○: назад
117	0	utf-8	Орда Бэдмена
118	0	utf-8	Орда Бэдмеллы
119	0	utf-8	Бонус копки
120	0	utf-8	Бонус орды
121	0	utf-8	Бонус за мордобой
122	0	utf-8	Бонус времени
123	0	utf-8	Сила копки дальше
124	0	utf-8	Ранг
125	0	utf-8	Выкопано
126	0	utf-8	Призвано
127	0	utf-8	Сдохло
128	0	utf-8	Время
129	0	utf-8	Финальная мощь
130	0	utf-8	Сила копки
131	0	utf-8	Героев отмолотили
132	0	utf-8	Очки
133	0	utf-8	Ранг
134	0	utf-8	Гармония
135	0	utf-8	Синхрон
136	0	utf-8	Охрана
137	0	utf-8	Экономика
138	0	utf-8	Телепатия
139	0	utf-8	Раппорт
140	0	utf-8	Дружба
141	0	utf-8	Родные души
142	0	utf-8	Лучшие друзья
143	0	utf-8	Закадычные
144	0	utf-8	Крепкие друзья
145	0	utf-8	Свои
146	0	utf-8	Сообщники
147	0	utf-8	Товарищи
148	0	utf-8	Коллеги
149	0	utf-8	Союзники
150	0	utf-8	Друзья друзей
151	0	utf-8	Кивнулись раз
152	0	utf-8	Почти чужие
153	0	utf-8	Не знакомы
154	0	utf-8	Оба подозревают
155	0	utf-8	Недруги
156	0	utf-8	Конкуренты
157	0	utf-8	Противники
158	0	utf-8	Супостаты
159	0	utf-8	Враги
160	0	utf-8	Злейшие
161	0	utf-8	Архивраги
162	0	utf-8	Немезиды
163	0	utf-8	[1p:$0] и\n[2p:$1]:\nрейтинг раппорта
164	0	utf-8	[2p:$1] и\n[1p:$0]:\nрейтинг раппорта
165	0	utf-8	Копка: %03d  Слуги: %03d
166	0	utf-8	P1
167	0	utf-8	P2
168	0	utf-8	Средний балл:
169	0	utf-8	%03d.%01d
170	0	utf-8	Этапов: %02d
171	0	utf-8	Очки: %04d
172	0	utf-8	Варварство
173	0	utf-8	Срочность
174	0	utf-8	Подлость
175	0	utf-8	Хитрость
176	0	utf-8	Злой гений
177	0	utf-8	Вот экзамен на бога твоего напарника.
178	0	utf-8	Как напарник махал киркой...
179	0	utf-8	Неизвестно
180	0	utf-8	Фамкам
181	0	utf-8	Мало силы копки.
182	0	utf-8	Сейчас нельзя.
183	0	utf-8	Здесь нельзя.
184	0	utf-8	Поздно.
185	0	utf-8	Флаг «творца легенд» включён!
186	0	utf-8	Только ты спасешь Бэдмена и захватишь мир!
187	0	utf-8	Только ты! Ты один! Ты и...
188	0	utf-8	Ладно, ты и пара других...
189	0	utf-8	
190	0	utf-8	Прощай, милый Бэдмен!
191	0	utf-8	Прощайте, сладкие гады!
192	0	utf-8	Прощай, жестокий мир!
193	0	utf-8	
194	0	utf-8	
195	0	utf-8	Героям нельзя
196	0	utf-8	© 2010 Sony Computer Entertainment Inc. 
197	0	utf-8	Сек
198	0	utf-8	Ранг
199	0	utf-8	Итог
200	0	utf-8	Очки
201	0	utf-8	Копка  %5d
202	0	utf-8	Орда   %5d
203	0	utf-8	Время  %5d
204	0	utf-8	Всего %5d
205	0	utf-8	Бэдмен и Бэдмелла
206	0	utf-8	Рекорды Бэдмен и Бэдмелла
207	0	utf-8	Этап
208	0	utf-8	Итог
209	0	utf-8	Очки
210	0	utf-8	Общий итог
211	0	utf-8	За %d эт.
212	0	utf-8	Макс
213	0	utf-8	Режим добавления
214	0	utf-8	Цена навыка
215	0	utf-8	Данж
216	0	utf-8	Осталось
217	0	utf-8	УР%d
218	0	utf-8	М
219	0	utf-8	Низ
220	0	utf-8	Сред
221	0	utf-8	Выс
