Regular Hero	Обычный герой
Death is my bride!	Смерть — моя невеста!
You're going down!	Ты падёшь!
What the...!	Что за...!
Hmph.	Хмф.
I'm somewhat cutting.	Я слегка режущий.
Light!	Свет!
I spit in the face of poison!	Плюю в лицо яду!
I spit in the face of paralysis!	Плюю в лицо параличу!
Darn sleep...	К чёрту сон...
I'm on your trail!	Я на твоём следе!
Save me for later!	Сохрани меня на потом!
Boxing clever.	Бокс по-умному.
Mirthful Monarch	Весёлый монарх
"Papier-mГўchГ©'s not a dirty word"	"Папье-маше — не ругательство"
Urgghhh!	Ургггххх!
YOU!!!	ТЫ!!!
You overdid it!	Ты переборщил!
Once more!	Ещё раз!
Take this!	На вот!
Everything's clearer!	Всё яснее!
The pain of poison.	Боль яда.
The prison of paralysis.	Тюрьма паралича.
Sleep is for the weak (yawn)...	Сон для слабых (зевок)...
This ain't no game!	Это не игра!
Record my epic progress!	Запиши мой эпический прогресс!
No ordinary chest!	Не простой сундук!
The Hero	Герой
"What's in a name?"	"Что в имени тебе?"
What is your naaaaargh...?	Как тебя зооооаргх...?
What is YOUR name!?	Как ТЕБЯ зовут!?
What was your name?	Как тебя звали?
Tell me your name again...	Скажи имя ещё раз...
Gimme experience! Now!	Дай опыт! Сейчас!
Enough for today!	На сегодня хватит!
Gimme that name!	Дай это имя!
...And your name was?	...А тебя как звали?
Gimme your tor-name-do!	Дай своё тор-имя-до!
Shed light on your name!	Пролей свет на имя!
Your name was... Urrggh...	Тебя звали... Урргх...
Y-Y-Your n-n-name w-w-was?	Т-т-тебя к-к-как з-з-звали?
Your name wazzz...	Тебя звалиии...
Now what was that name again?	Так как же тебя звали?
Gimme your name... (yawn)	Дай имя... (зевок)
Save your name!	Сохрани имя!
Whisper your name!	Прошепчи имя!
Gimme your name! NOW!!!	Дай имя! СЕЙЧАС!!!
Don't block your name!	Не блокируй имя!
Ally	Союзник
"Anyplace I can buy a name?"	"Где тут купить имя?"
I wanted so much more from life.	Я хотел от жизни большего.
I tracked you down!	Я тебя выследил!
Don't leave me this way!	Не оставляй меня так!
Let us be gone from here.	Уйдём отсюда.
Tremble at the name of AAB!!!	Дрожи перед именем ААБ!!!
All I want is love! And HP...	Всё, что хочу — любовь! И ХП...
Spinning top!	Волчок!
The light of love.	Свет любви.
Getting drowsy...	Клонит в сон...
Where am I!?	Где я!?
As good a spot as any...	Место не хуже других...
Heroine	Героиня
"Nameless and shameless!"	"Безымянная и бесстыдная!"
The final curtain.	Последний занавес.
Am I playing the lead?	Я играю главную?
Must I take the stage alone!?	Мне одной на сцену!?
I'm not enjoying this role...	Мне эта роль не нравится...
Let's head back.	Давай назад.
How invigorating!	Как бодрит!
Give me your mana!	Дай ману!
Up, up and away!	Вверх, вверх и прочь!
Sparks are flying!	Искры летят!
Ugh... Toxic venom...	Угх... Токсичный яд...
Limbs locking up...	Конечности деревенеют...
Don't let me sleep in!	Не дай мне проспать!
Where to next?	Куда дальше?
You are feeling sleepy...	Тебе хочется спать...
Take note of my progress.	Запиши мой прогресс.
Look! Gooseflesh!	Глянь! Мурашки!
All yours...	Всё твоё...
Lily-Livered Loser	Трусливый неудачник
"Badman just needs a hug!"	"Бэдмену просто нужна обнимочка!"
Nice guys finish last...	Хорошие парни финишируют последними...
Badman, let's talk about it...	Бэдмен, давай поговорим...
You weren't built to last.	Тебе не суждено долго жить.
I'm not giving up.	Я не сдаюсь.
Violence solves nothing!	Насилие ничего не решает!
This is poison alright!	Это точно яд!
Paralysis. What a drag.	Паралич. Нудно.
A little sleep can't hurt.	Маленький сон не повредит.
Anyone got a map?	Есть карта?
Wait with baited breath.	Жди, затаив дыхание.
Let's bring the roof down!	Обрушим крышу!
Remember me!	Помни меня!
Let's try a new look.	Давай новый имидж.
This is no regular box!	Это не простой ящик!
Two-Faced Sidekick	Двуличный напарник
"I got your back, buddy..."	"Я прикрою, дружок..."
Urrrgghhh!!!	Уррргггххх!!!
He's here!	Он тут!
You were too good to live...	Ты был слишком хорош, чтоб жить...
Hmmm... Weird...	Хммм... Странно...
Fresh as a spring breeze!	Свеж как весенний ветер!
The mana's mine!	Мана моя!
This'll go down a storm.	Это будет фурор.
Light is right.	Свет — это правильно.
I'm poisoned.	Меня отравили.
I'm all stiff.	Я весь деревянный.
I'm sleepy...	Я сонный...
I am NOT lost...	Я НЕ заблудился...
Hit the hay!	На сеновал!
It pays to save.	Сохраняться выгодно.
A cold front on its way.	Холодный фронт на подходе.
There you are.	Вот ты где.
Heartbroken Hero	Разбитый герой
"I'll go on without you, Erika."	"Я пойду без тебя, Эрика."
I lose again!	Снова проиграл!
You evil, evil man!	Ты злой, злой человек!
Sob...	Хнык...
I want out of here so bad.	Так хочу отсюда выбраться.
Where are you, Erika?	Где ты, Эрика?
You're not here?	Тебя нет?
Erika...	Эрика...
Suck that HP dry!	Высоси всё ХП!
Blow, wind, blow!	Дуй, ветер, дуй!
That's a fine torch!	Классный факел!
My tummy feels funny.	Живот странный.
My legs feel like lead.	Ноги как свинец.
ZZZzzz...	ЗЗЗззз...
Where is he...?	Где он...?
G'night!	Спокойной!
Ice is nice!	Лёд — это класс!
I'm burning up!	Меня жжёт!
Ba-Ba-Barrier!	Ба-ба-барьер!
Have-A-Go-Hero	Герой-энтузиаст
"This is my big moment!"	"Это мой большой момент!"
I could've been a contender...	Я мог быть претендентом...
I win at last!	Наконец победил!
Nooo!	Нееет!
I won't quit.	Я не сдамся.
Ouch - my guts...	Ай — кишки...
Sleep? Surely not...	Сон? Ну уж нет...
Not here, eh?	Не тут, да?
Go get 'em!	Давай их!
Never forget to save!	Никогда не забывай сохраняться!
The ice age is back!	Ледниковый период вернулся!
Saucy Sorceress	Дерзкая чародейка
"I know how to handle monsters."	"Я знаю, как обращаться с монстрами."
A sorry sacrifice...	Жалкая жертва...
Look who we have here!	Гляньте, кто тут!
How frightful!	Как страшно!
Yep. This is the entrance.	Ага. Это вход.
Mana's all mine!	Мана вся моя!
Erupt like you mean it!	Извергайся всерьёз!
O, mystic torch!	О, мистический факел!
Am I numb!?	Я онемела!?
Sleepy...	Сонно...
At the crossroads...	На распутье...
DIY Hero	Самодельный герой
My balloon's burst...	Шарик лопнул...
You've been rumbled!	Тебя раскрыли!
My creator!	Мой создатель!
Never give up!	Никогда не сдавайся!
I'm in great shape!	Я в отличной форме!
Mana, if you please.	Ману, будь добр.
I'm all in a spin.	Меня крутит.
Bright idea!	Светлая идея!
Can I sleep here?	Можно тут поспать?
I'm lacking direction.	Мне не хватает направления.
Sleeping draught!	Сонное зелье!
Save the game!	Сохрани игру!
Let's go sub-zero!	Погнали ниже нуля!
Hit 'em hard!	Бей их сильно!
Marginal Prophet	Сомнительный пророк
"I have to let the past go..."	"Надо отпустить прошлое..."
It's the end of the world!	Это конец света!
Let's finish this.	Давай закончим.
You're useless!	Ты бесполезен!
Let's do this!	Погнали!
Some light in my darkness.	Немного света в моей тьме.
Curse you, toxins.	Будь ты проклят, токсин.
My legs fell asleep.	Ноги затекли.
Is this a dream?	Это сон?
Want me to tuck you in?	Укрыть тебя?
Let me place my flag here.	Поставлю флаг тут.
Water, cleanse this place!	Вода, очисти это место!
Fire, purify this place!	Огонь, очисти это место!
Wind, shake this place!	Ветер, встряхни это место!
Ice, freeze this place!	Лёд, заморозь это место!
The art of defense!	Искусство защиты!
I die with no name...	Умираю без имени...
Badman! Now, THAT'S a cool name.	Бэдмен! Вот ЭТО крутое имя.
Farewell, my poorly-named friend.	Прощай, мой плохо названный друг.
And again!	И снова!
I'm ready for anything!	Я готов ко всему!
Blood sword!	Кровавый меч!
Blow me away!	Сдуй меня!
Still can't see a name.	Имени всё не вижу.
The poison pumps through my veins.	Яд качает по венам.
So numb...	Так немею...
Some shut-eye...	Немного глаз сомкнуть...
Any names 'round here?	Тут есть имена?
Hope you don't snore...	Надеюсь, ты не храпишь...
Save my sorry soul.	Спаси мою жалкую душу.
Just chill out!	Просто остынь!
Now I just need a name!	Теперь мне только имя!
Safety! For now...	Безопасно! Пока...
Now change my name...	Теперь смени имя...
Don't struggle, you hear?	Не дёргайся, слышишь?
Your name's to blame!	Виновато твоё имя!
Back to the start.	Назад к началу.
CHANGE MY NAME!	СМЕНИ МОЁ ИМЯ!
I'll have some!	Я возьму!
Danger zone!	Опасная зона!
Ah, that's nice!	Ах, класс!
Venomous venom.	Ядовитый яд.
Numbness overwhelms me.	Онемение накрывает.
Slipping under...	Уплываю...
Any spare names lying around?	Есть лишние имена?
Time to save.	Пора сохраняться.
And so it ends...	Вот так и кончается...
Let's get married!	Давай поженимся!
Darn you, monsterkind!	Будьте вы прокляты, монстры!
Let's try a fresh approach.	Давай свежий подход.
I'm full of beans!	Я полон сил!
Would you mind?	Не возражаешь?
Let the wind do its work!	Пусть ветер делает своё!
I've been passed the torch!	Мне передали факел!
Envenomated!	Отравлён!
Can't...move...	Не...могу...двигаться...
Can't fight it...	Не могу сопротивляться...
Where you at, Badman?	Где ты, Бэдмен?
Sleep tight, sucker!	Спи крепко, лох!
Save for a rainy day.	Копи на чёрный день.
Take it ice and easy.	Лёд и спокойно.
Over to them!	Им!
Default Hero	Герой по умолчанию
"Insert comment here."	"Вставь комментарий сюда."
I have feelings too...	У меня тоже чувства...
Can I get your autograph?	Можно автограф?
Farewell, sweet prince!	Прощай, милый принц!
And here we go again.	И вот опять.
What joy!	Какая радость!
Ah, what a delight!	Ах, какое наслаждение!
Fill the hole in my soul!	Заполни дыру в душе!
There's a storm a-brewin'!	Буря надвигается!
Nice torch.	Классный факел.
Poison! In my eyes!	Яд! В глаза!
I'm sh-sh-shaking.	Я д-д-дрожу.
I'll fall asleep!	Я засну!
Should've packed that map...	Надо было карту взять...
Sleep soundly!	Спи крепко!
Save me up!	Сохрани меня!
Weather's getting bad.	Погода портится.
Taking on all comers!	Приму всех желающих!
That's magic, that is!	Вот это магия!
Who will weep for me?	Кто обо мне поплачет?
Tell me your real name.	Скажи настоящее имя.
You shall be missed!	Тебя будут помнить!
Once more...	Ещё раз...
I need mana too.	Мне тоже нужна мана.
Burn!!!	Гори!!!
Such lustrous light.	Какой блестящий свет.
Oh, the poisonosity...	О, ядовитость...
Oh, the numbitude...	О, немелость...
I grow weary.	Я устаю.
Did I hear someone sneeze?	Кто-то чихнул?
Basic Hero	Базовый герой
O, all too brief life!	О, слишком краткая жизнь!
Fancy finding you here!	Надо же, ты тут!
Oh, the pity of it all!	О, какая жалость!
He ain't here.	Его тут нет.
The scales have fallen from my eyes!	Чешуя спала с глаз!
Snakebite!?	Змеиный укус!?
Can't move a muscle...	Мышца не двигается...
I should've brought teddy...	Надо было мишку взять...
My eyes are peeled.	Глаза наготове.
Attack!!!	Атака!!!
I'm not cold.	Мне не холодно.
Everyday Hero	Будничный герой
Gone - like that!	Пропал — вот так!
Bingo!	Бинго!
Come back!!!	Вернись!!!
Back to the starting line.	Назад на старт.
Round we go!	Круг пошёл!
A night light!	Ночник!
Poison's overpowering...	Яд одолевает...
Paralysis creeps...	Паралич ползёт...
This way? That way?	Сюда? Туда?
Never forget this place!	Никогда не забудь это место!
A fine box of tricks.	Классная коробка фокусов.
Common Hero	Простой герой
An absurd end to an absurd life.	Абсурдный конец абсурдной жизни.
Hurrah!	Ура!
Such a waste.	Какая трата.
Time to twirl!	Пора крутиться!
Antidote, anyone?	Антидот, есть?
This'll get worse before it gets better.	Сначала хуже, потом лучше.
Sleep? Now!?	Сон? Сейчас!?
I'll sniff him out.	Я его вынюхаю.
Here's a nice treat.	Вот вкусняшка.
Roll out the barrel!	Кати бочку!
Check the new look!	Глянь новый имидж!
Treasure this!	Цени это!
Usual Hero	Типовой герой
I ain't got time to die!	Мне некогда сдыхать!
That's the way it goes.	Вот так бывает.
I'm going back...	Я назад...
Please give generously.	Давайте щедро.
I'm going to swing for the fences.	Бью на вынос.
I'm stuck fast.	Я намертво застрял.
See you in the morning!	Увидимся утром!
Right. Where next?	Так. Куда дальше?
Never forget!	Никогда не забудь!
I'm going to finish this!	Я это закончу!
Archetypal Hero	Архетипный герой
Decommissioned...	Списан...
Aren't you going to run?	Ты не будешь бежать?
Gone too soon.	Ушёл слишком рано.
Search and destroy.	Ищи и уничтожай.
Cyborg!!!	Киборг!!!
Preparing to drain HP...	Готовлюсь сосать ХП...
Preparing to launch spin...	Готовлюсь к крутилке...
Flashy!	Ярко!
It's in my blood.	Это в крови.
I ain't going anywhere.	Я никуда не иду.
Sleep...	Сон...
Back me up!	Прикрой!
Vanilla Hero	Ванильный герой
Ah, death's sweet embrace.	Ах, сладкие объятия смерти.
Put up a fight, why don't you?	Ну поборись же!
Please come back!	Вернись, пожалуйста!
Who needs a name?	Кому нужно имя?
Mysterious sustenance!	Таинственная пища!
Mana from heaven!	Мана с небес!
The wind of change!	Ветер перемен!
It's still too dark...	Всё ещё темно...
Say no to numbness.	Скажи нет онемению.
I'll just rest a while.	Просто отдохну чуть.
Sleep, darn you!	Спи, чёрт возьми!
Mystery data!	Таинственные данные!
Ice age!	Ледниковый период!
Enjoy!	Наслаждайся!
Mehero	Ягерой
How can this be?	Как так?
It's showtime!	Шоу начинается!
Pitiful...	Жалко...
I'm comin' to get ya!	Я за тобой!
Light up!	Светись!
It's something I ate...	Это я что-то съел...
It's just the flu...	Просто грипп...
Is there ever a bad time to sleep?	Бывает ли плохое время спать?
Hmmm... I'm kinda lost.	Хммм... Я как-то потерялся.
Sleep it up!	Выспись!
Save this!	Сохрани это!
Holy water!	Святая вода!
Lava!	Лава!
Whirlwind!	Вихрь!
Its getting cold.	Холодает.
Shield me.	Защити меня.
Foul-Mouthed Failure	Матерный неудачник
"I **** can't ***** the ****!"	"Я **** не ***** этот ****!"
S*r*ly s*me m*st*ke.	Т*чн* к*к*я-т* ош*бк*.
B*dm*n!	Б*дм*н!
D*n't d*e *n me!!!	Н* сд*х*й н* мн*!!!
N*t aga*n!?	Н* оп*ть!?
I f**l g**d!	Я в к**фе!
HP *******!	ХП *******!
N*ce tw*st*r!	Кл*ссн*й в*хрь!
Th*t's br*ght!	Ярк* ж*!
D*rn p**s*n!	Ч*рт*в яд!
G*tt*ng n*mb*r.	Всё н*м*е.
I'm try*ng to sl**p.	П*т*юсь сп*ть.
Wh*r* the h*ck is h*!?	Гд* ч*рт *н!?
Sl**p t*ght!	Сп* кр*пк*!
S*ve th* g*m*.	С*хр*н* *гр*.
Bl*zz*rd!	М*т*ль!
I'm feeling *****!	Я ч*вств*ю *****!
A m*g*c b*rri*r!	М*г*ч*ск*й б*рь*р!
Dungeon Tour Guide	Гид по данжу
"Come take a look around!"	"Заходи, глянь вокруг!"
Cut down in my prime!	Срубили в расцвете!
Bow before your lord!	Поклонись своему лорду!
You didn't die in vain. Honest.	Ты не зря сдох. Честно.
And again...	И снова...
Let's do some recon.	Давай разведку.
I see.	Понял.
Ring of light!	Кольцо света!
Let's fire it up!	Давай зажжём!
Torch!	Факел!
Numbness...	Онемение...
I grow tired.	Я устаю.
Right! Let's do this!	Так! Погнали!
Treasure chest!	Сундук с сокровищами!
Fresh-Faced Hero	Свежий герой
"I'm gonna own this dungeon!"	"Этот данж будет моим!"
The remote's broken.	Пульт сломан.
Are you from the future?	Ты из будущего?
Change the options.	Смени настройки.
Is someone making a fool of me?	Надо мной издеваются?
Let's test some magic on those lizards!	Протестируем магию на ящерицах!
Is this how you do it?	Так это делается?
Mana to man.	Мана к мужику.
Set to erupt!	Готов извергнуться!
It's all twinkly!	Всё блестит!
Pip's poisoned.	Пипа отравили.
Pip's paralyzed.	Пипа парализовало.
Zzz...	Ззз...
Pip pip!	Пип-пип!
Sky Pirate	Небесный пират
"Is this the dragon's nest?"	"Это драконье гнездо?"
Talk about bad luck...	Вот это невезение...
Kidnap 'em!	Хватай их!
You little skunks!	Мелкие скунсы!
I'll start over again!	Начну сначала!
N-N-N-Numb!?	О-о-о-онемел!?
I'll fall asleep now.	Сейчас засну.
It's too quiet...	Слишком тихо...
Eat it!	Жри!
Explode in five minutes!	Взорвусь через пять минут!
Look closely! Who is it!?	Глянь внимательно! Кто это!?
Inventor on Patrol	Изобретатель на дозоре
"Want to see my latest invention?"	"Хочешь моё новое изобретение?"
I have but many regrets.	У меня лишь много сожалений.
Eureka!	Эврика!
When did that happen!?	Когда это случилось!?
Time for another challenge!	Пора на новый вызов!
This should work!	Это должно сработать!
Whirlstool!	Крутистул!
Illuminate!	Освети!
Venom!	Яд!
Grr...	Грр...
Sleepy.	Сонно.
It's too vast.	Слишком огромно.
Flag!	Флаг!
Mouse	Мышь
Egads!	О ужас!
What a grotesque life form...	Какая гротескная форма жизни...
You were defeated!?	Тебя победили!?
Land?	Земля?
Fire!	Огонь!
Poy-zoon!	Пой-зун!
I can't stand it.	Не выношу.
How big can this labyrinth be?	Насколько велик этот лабиринт?
Neighborhood Robot	Районный робот
"Overlord Capture Protocols engaged."	"Протоколы захвата Повелителя включены."
Hmph, I've been dead before.	Хмф, я уже умирал.
Overlord location confirmed!	Местоположение Повелителя подтверждено!
No reply!?	Нет ответа!?
I'm at the entrance!	Я у входа!
Heal me!	Вылечи меня!
The hero used a Torch!	Герой использовал Факел!
The hero became poisoned.	Герой отравился.
The numbness...is overwhelming!	Онемение...невыносимо!
...Could sleep forever.	...Мог бы спать вечно.
No trouble here...	Тут всё тихо...
Tranquilizers set.	Транквилизаторы готовы.
"What is your name?"	"Как тебя зовут?"
Gyuarghhhh!	Гюаргхххх!
Tremble before the might of AAA...	Дрожи перед мощью ААА...
I won't forgive this!	Я этого не прощу!
I'll capture him next time!	В следующий раз поймаю!
I feel great!	Я отлично себя чувствую!
Drawing magic!	Черчу магию!
That's nice...	Класс...
I can't believe this poison.	Не верю этому яду.
Numb!	Онемел!
"What is your friend's name?"	"Как зовут твоего друга?"
I won't accept this!	Я этого не приму!
I've got you now.	Теперь ты мой.
This is not good!	Это плохо!
Where does this end?	Где этому конец?
Boom!	Бум!
I'll just put it here...	Просто поставлю тут...
Not poison...	Только не яд...
I'm numb!?	Я онемел!?
You're wasting your time!	Ты зря время тратишь!
I brought extra bombs.	Я взял запасные бомбы.
I'm Badman!	Я Бэдмен!
"What is your girlfriend's name?"	"Как зовут твою девушку?"
Impossible!	Невозможно!
You, ugly one.	Ты, урод.
That was too fast...	Это было слишком быстро...
I'll wrap this up!	Я это закрою!
...Give me strength!	...Дай мне сил!
Burning out!	Выгораю!
Paralysis!?	Паралич!?
I...won't sleep.	Я...не буду спать.
I won't let you escape!	Я не дам тебе сбежать!
Even without MP...!	Даже без МП...!
3 hours gone!	3 часа пропали!
I found ya!	Нашёл тебя!
I'm not sc-scared!	Я не б-боюсь!
Poi-Poi-Poison?	Я-я-яд?
Wahhh!!	Ваххх!!
*yawn*	*зевок*
What should I do?	Что мне делать?
You would cry too if it happened to you.	Ты б тоже плакал, случись такое с тобой.
Overlorrrrrd!	Повелитееел!
Try this angle!	Попробуй этот угол!
Let's walk as we light this.	Пойдём, пока светим.
A poison mist?	Ядовитый туман?
I'll grow old and die at this pace...	Я состарюсь и сдохну в таком темпе...
It's so cumbersome.	Так громоздко.
If you're out there, come on out!	Если ты там — выходи!
My allowance!	Мои карманные!
Yes! I'm gonna do it this time!	Да! В этот раз получится!
Sukisuki!	Сукисуки!
It's not like I'm lost!	Я вовсе не заблудился!
Blood Sword!	Кровавый меч!
It's bright now!	Теперь светло!
Poison damage!	Урон ядом!
I'm numb...	Я онемел...
I'm really...sleepy.	Я очень...сонный.
I'll be careful from now on.	Дальше буду осторожнее.
You told me you got some bread!	Ты сказал, у тебя есть хлеб!
Mr. Overlord, it's time.	Мистер Повелитель, пора.
Shota!	Шота!
I'm lost! Let's start over!	Я заблудился! Начнём сначала!
Healio!	Хилио!
I don't have a detox herb.	У меня нет травы от яда.
I'm numb all over!	Я весь онемел!
No freebies...	Халявы не будет...
I don't want any more scandals!	Хватит со мной скандалов!
Farewell, my glorious beard.	Прощай, моя славная борода.
There's the Overlord!	Вон Повелитель!
That was a major setback!	Это был крупный откат!
I need to start over again!	Надо начать сначала!
I'll kill you!	Я тебя убью!
This is the only way!	Другого пути нет!
This is just the right brightness!	Как раз нужная яркость!
I'm soaked with poison.	Я пропитан ядом.
My legs fell asleep!	Ноги затекли!
Lack of sleep is dangerous for heroes.	Недосып для героев опасен.
I want to know where the exit is.	Хочу знать, где выход.
What a shame...	Какой позор...
Overlord! Forward!	Повелитель! Вперёд!
You're way too reckless!	Ты слишком безрассуден!
I just went to find some food.	Я просто пошёл за едой.
I'll really kill you!	Я тебя правда убью!
Spin around and hit them!	Крутись и бей их!
I'm serious! Can't you see that?	Я серьёзно! Разве не видно?
Venom...	Яд...
My bed...	Моя кровать...
What's next?	Что дальше?
Why is this happening here!?	Почему это происходит тут!?
There's the mastermind!	Вон мозговой центр!
I shall examine your body!	Я осмотрю твоё тело!
Let's go to a safe area for now.	Пойдём пока в безопасное место.
I stole something of yours.	Я у тебя кое-что украл.
Mossimo Volcano!	Моссимо-вулкан!
Ah, mood lighting!	Ах, свет для настроения!
Paralyzed...	Парализован...
It's time to dream.	Пора мечтать.
No one is after us...	За нами никто не гонится...
Belmon...	Белмон...
The Overlord is just ahead of us!	Повелитель прямо впереди!
Why-!?	Почему-!?
Our Auto-Map isn't working!	Наша автокарта не работает!
I'll use it myself!	Я сам этим воспользуюсь!
Blazebest!	Блейзлучш!
I can see your face!	Я вижу твоё лицо!
Poison...is not good.	Яд...это плохо.
I can't move.	Не могу двигаться.
Zzz... Zzz...	Ззз... Ззз...
What's a diversion?	Что такое отвлекающий манёвр?
What is this thing called the end?	Что это за штука под названием конец?
I don't know why I found him.	Не знаю, почему я его нашёл.
Are you serious!?	Ты серьёзно!?
I came back once.	Я уже возвращался.
Healorama!	Хилорама!
Inferbetter!	Инферлучше!
We're safe now.	Теперь мы в безопасности.
I'll die from poison.	Я сдохну от яда.
I'm paralyzed.	Я парализован.
I'm going to sleep.	Я иду спать.
Which path should I choose?	Какой путь выбрать?
What's going on here!?	Что тут происходит!?
I'll stop the Overlord.	Я остановлю Повелителя.
Sinead was defeated!?	Шинейд победили!?
I hate these walls!	Ненавижу эти стены!
Feel my Pyramid Power!	Чувствуй силу пирамиды!
Icebowl!	Ледочаша!
I can see all the lines!	Я вижу все линии!
Germs cause injuries!	Микробы вызывают раны!
I can't feel my hands...	Рук не чувствую...
I'm so tired...	Я так устал...
I'll just use telepathy...	Просто телепатией...
But I don't have a beard...	Но у меня нет бороды...
I missed you!	Я скучал по тебе!
I can't believe you weren't eaten first.	Не верю, что тебя не съели первым.
Let's resume the game!	Давай продолжим игру!
Fantasy Drain!	Фэнтези-сос!
Turning Hawk!	Крутящий ястреб!
Ingerworse!	Инферхуже!
Swing the torch!	Махни факелом!
Lockjaw...?	Столбняк...?
It's binding me!	Это меня связывает!
I can't see clearly.	Плохо вижу.
Search the field.	Ищи по полю.
What...I've been defeated again!?	Что...меня снова победили!?
Here he is!	Вот он!
Darn you!	Будь ты проклят!
Darn! Where did he go?	Чёрт! Куда он делся?
Miracle Axe Swing!	Чудо-взмах топора!
Axe Spinner!	Топорокрутилка!
I feel strong!	Я чувствую силу!
Tetanus...?	Столбняк...?
Everything's rubbery...	Всё как резина...
I'm...a Slimemoss... Hehehe!	Я...слизьмох... Хехехе!
Where are you wimps hiding!?	Где вы прячетесь, слабаки!?
He tricked me with that bread!	Он обманул меня тем хлебом!
This is the Overlord!	Это Повелитель!
Please leave your money where you are!	Оставьте деньги где стоите!
Do it again!	Сделай ещё раз!
Heal deal!	Хил-сделка!
Light it up!	Зажигай!
Poison?	Яд?
Love is all there is...	Любовь — это всё...
Where there's a will, there's a problem!	Где воля, там проблема!
This was just a fragment after all.	Это был всего лишь осколок.
There he is!	Вон он!
*gasp* Next might be...	*ах* Дальше может быть...
Let's try again!	Давай ещё раз!
Burn you down!	Сжечь тебя!
Say cheese!	Скажи сыр!
My body's turning purple.	Тело становится фиолетовым.
I'm naturally stuck!	Я от природы застрял!
Sleepy...zzz.	Сонно...ззз.
Patrol clear!	Дозор чист!
"This dungeon is already under control."	"Этот данж уже под контролем."
Nnn-ohhh!	Ннн-оххх!
Thought you could escape from me?	Думал, сбежишь от меня?
Once more for justice!	Ещё раз во имя справедливости!
Now, return...	Теперь вернись...
Ooh! Shiny!	Оо! Блестит!
Central nervous system...shutting down...	Центральная нервная система...отключается...
Brute force...leaving me....	Грубая сила...покидает меня....
Nighty night...	Баиньки...
Are you waiting for me?	Ты меня ждёшь?
Hehe...you're so strong.	Хехе...ты такой сильный.
What a strong aura...	Какая сильная аура...
This isn't fire stuff, but...	Это не огонь, но...
Please make it so easy a monkey can do it.	Сделай так, чтоб даже обезьяна смогла.
I'll bite you and suck your ki.	Укушу и высосу ки.
Inferno to the face!	Инферно в лицо!
I don't trust invisible guys I can't see.	Не доверяю невидимым, которых не вижу.
Where are you, Super Water God?	Где ты, Суперводный бог?
Urgh...I can't move.	Ургх...не могу двигаться.
I feel like I'm in a ball...	Чувствую себя как в шаре...
Eek! Eek!	Иик! Иик!
Did I go down in history?	Я вошёл в историю?
This is a Hero's story.	Это история героя.
I told you not to rush!	Я ж говорил не торопиться!
Let's try it again!	Давай ещё раз!
I wanna jump around!	Хочу попрыгать!
This reminds me of the moonlight.	Это напоминает лунный свет.
I thought I was immune to poison...	Думал, я иммунен к яду...
I know sleeping means admitting defeat, but...	Знаю, сон — это признать поражение, но...
Looking, looking...	Ищу, ищу...
You disposed of me?	Ты меня утилизировал?
I shall write more epics.	Я напишу ещё эпосов.
You were sent where?	Тебя куда отправили?
I'll dive in again, man!	Снова нырну, мужик!
Form of a whirlpool!	Форма водоворота!
I feel the power!	Я чувствую силу!
You know the Flu? It's that bad, man.	Знаешь грипп? Вот настолько плохо, мужик.
I'm groggy now.	Меня разморило.
I have to do this quick!	Надо сделать это быстро!
The door's closing...	Дверь закрывается...
A rare delicacy!	Редкий деликатес!
Oh boy!	Ого!
Botulism!	Ботулизм!
Uh...I can't move.	Э-э...не могу двигаться.
Where's that smell coming from?	Откуда этот запах?
I made a mistake by one space.	Я ошибся на одну клетку.
This is the chamber!	Это покои!
You again!?	Снова ты!?
I forgot to get the items.	Забыл взять предметы.
Charge and drain!	Заряд и отсос!
Torch dance!	Танец факела!
Poison sucks!	Яд — отстой!
My legs...	Мои ноги...
Anti-sleep...	Антисон...
Are there any traps?	Тут есть ловушки?
This was slightly out of character.	Это было слегка не в характере.
Looks expensive!	Выглядит дорого!
Since you're gone...	Раз тебя нет...
Retreat is not an option!	Отход — не вариант!
Heal well!	Хили хорошо!
Jumping Typhoon!	Прыгающий тайфун!
Lighting the torch!	Зажигаю факел!
I can't believe...	Не могу поверить...
What if I keep pressing X?	А если жать X дальше?
I hope I don't hit my head...	Лишь бы головой не стукнуться...
Give me back my 3 hours!	Верни мои 3 часа!
I finally found the Dark Emperor!	Я наконец нашёл Тёмного императора!
This is dangerous!	Это опасно!
Let's do the sums again.	Давай пересчитаем.
I'll exert all my strength!	Я выложусь изо всех сил!
Rolling Day Trader!	Катящийся дневной трейдер!
Adult supervision!	Взрослый присмотр!
I'm getting weak...	Я слабею...
My connection was severed.	Связь оборвалась.
I can't move when I'm asleep.	Во сне я не двигаюсь.
Must be some good loot round here...	Тут наверняка хороший лут...
Geez!	Ёлки!
I'll hang him later!	Повешу его потом!
Run away!	Беги!
What a formidable labyrinth.	Какой грозный лабиринт.
Say your prayers!	Читай молитвы!
Woohooooo!	Ууухуууу!
I brought the rain!	Я принёс дождь!
Turn around and blow them down!	Развернись и сдуй их!
Torchah!	Факелах!
Demon's Venom...	Демонский яд...
I feel...	Я чувствую...
Is there an audience for us?	Для нас есть публика?
This can't be the end...	Это не может быть концом...
I found the doll!	Я нашёл куклу!
Are those your tears!?	Это твои слёзы!?
