36	Замеси этих героев как следует!\n\n・Скорми этих жалких щенков\n  своим омномам.\n\n・Пусть омномы обожрутся\n  слизьмохами и станут мухами-омномами.\n\n・Корми мух-омномов слизьмохами —\n  и они нарожают ещё омномов.\n\n
37	Сделай 5 ящеров\n\n・Копай почву 3 ур. с пищей —\n  вылезут ящеры.\n\n・Не забудь крутой круговорот\n  пищи, ага?\n\n・Разгони популяцию ящеров:\n  корми омномами — будут нести яйца.\n\n
38	Сделай 10 лилит\n\n・Лилит рождаются, когда копаешь\n  почву 2 ур. с маной — 10 раз!\n\n・Духи гоняют ману так же,\n  как слизьмохи гоняют пищу.\n\n
39	???
40	???
41	?????
42	▼
43	▲
44	Крестовина： двигать курсор\nАналог： двигать курсор\n□： копать\n×： инфо объекта\n△： зум +/-\n○： назад/отмена\nL： быстрый фокус\nR： навык кирки\nSTART： меню паузы\nSELECT： снимок\n\n
45	Крестовина： двигать курсор\nАналог： двигать курсор\n□： копать\n×： инфо объекта\n△： зум +/-\n○： назад/отмена\nL： меню правки/быстрый фокус\nR： навык кирки\nSTART： меню паузы\nSELECT： снимок\n\n
46	Крестовина： двигать курсор\nАналог： двигать курсор\n×： OK\n○： назад/отмена\nSTART： меню паузы\nSELECT： снимок\n\n
47	<col:255,255,153,0>SCEA Santa Monica Studios</col>\n<col:255,128,128,128>Продюсер</col>\nDaimion Pinnock\n<col:255,128,128,128>Ассоц. продюсер</col>\nJenny Barbour\n<col:255,128,128,128>Ст. продюсер</col>\nMichael Graham\n<col:255,128,128,128>Исп. продюсер</col>\nKyle Shubel\n<col:255,128,128,128>Директор, международная разработка</col>\nBarbara House\n<col:255,128,128,128>Вице-президент, разработка продукта</col>\nScott Rohde\n<col:255,128,128,128>Президент, World Wide Studios, Sony Computer Entertainment</col>\nShuhei Yoshida\n\n
48	<col:255,255,153,0>Global Platform</col>\n<col:255,0,153,255>Вице-президент, Global Platform</col>\nCharles Connoy\n<col:255,0,153,255>Контроль качества первой стороны (FPQA)</col>\n<col:255,128,128,128>Ст. директор, контроль качества</col>\nRichard Markelz\n<col:255,128,128,128>Директор, контроль качества</col>\nJeff Wilkerson</col>\n<col:255,0,153,255>Тестовые операции</col>\n<col:255,128,128,128>Менеджер QA-тестов</col>\nAndrew Moore\n<col:255,128,128,128>Менеджер QA, сеть и команды TRC</col>\nCruz Garcia\n<col:255,128,128,128>Руководитель QA-тестов</col>\nKelly Bollinger\n\n
49	<col:255,128,128,128>Руководитель QA, команда TRC</col>\nChris Scott\n<col:255,128,128,128>Лаборант</col>\nVince Loughney\n<col:255,128,128,128>Ведущие тестировщики QA</col>\nShaun Penney\nIan Jones\n<col:255,128,128,128>Ведущий тестировщик QA, команда TRC</col>\nDaniel Carrigan\nAntel Powell\nJonathin Morse\n<col:255,128,128,128>Ст. тестировщики QA, команда TRC</col>\nShaun Distor\nRyan Halvorson\nMatt Morgan\n\n
50	<col:255,128,128,128>Внешние аналитики тестов, команда TRC</col>\nNathan Alschbach\nJohn Elberson\nArthur Gustafson\nBob Jordan\nRyan Page\nJoe Petronaci\nShaun Sweeney\nSam Stovold\nCallista Tieu\nJosh Young\n\n\n\n
51	<col:255,0,153,255>Группа поддержки</col>\n<col:255,128,128,128>Менеджер релизов</col>\nEric Ippolito\n<col:255,128,128,128>Менеджер службы поддержки</col>\nMatt Harper\n<col:255,128,128,128>Менеджер релиза</col>\nJesse Reiter\n<col:255,128,128,128>Ассоц. менеджер релиза</col>\nEric Fishback\n<col:255,128,128,128>Ассоц. веб-админ DevSuite</col>\nJohn Hirai\n\n\n\n\n
52	<col:255,0,153,255>IT-группа разработки</col>\n<col:255,128,128,128>IT-директор разработки</col>\nSteven Kirk\n<col:255,128,128,128>IT-менеджер студии</col>\nVinh Tran\n<col:255,128,128,128>Системный администратор студии</col>\nColby Turner\nGreg Yip\n<col:255,128,128,128>Специалист поддержки IT студии</col>\nTravis Sher\n\n\n\n\n
53	<col:255,255,153,0>Маркетинг SCEA</col>\n<col:255,128,128,128>Вице-президент, маркетинг продукта</col>\nScott Steinberg\n<col:255,128,128,128>Директор, маркетинг ПО</col>\nChip Blundell\nAnthony Crouts\n<col:255,128,128,128>Ст. менеджер, маркетинг продукта</col>\nStephanie Yoshimoto\n<col:255,128,128,128>Специалист, маркетинг продукта</col>\nMick (PlayStation Mick) Perona\n<col:255,128,128,128>Директор, маркетинг железа</col>\nJohn Koller\n<col:255,128,128,128>Менеджер маркетинга, PlayStation標Portable</col>\nKristin Neirinckx\n\n
54	<col:255,128,128,128>Ст. директор, корп. связи и соцсети</col>\nPatrick Seybold\n<col:255,128,128,128>Директор, пиар продукта</col>\nRon Eagle\n<col:255,128,128,128>Ст. специалист, связи с общественностью</col>\nClaudine Ricanor\n<col:255,128,128,128>Менеджер соцсетей</col>\nJeff Rubenstein\n<col:255,128,128,128>Ст. специалист, соцсети</col>\nSid Shuman\n<col:255,128,128,128>Ст. директор, альянсы и активация</col>\nGinger Kraus\n<col:255,128,128,128>Ст. менеджер, потребительские события</col>\nDonna Armentor\n\n
55	<col:255,128,128,128>Специалист, потребительские события</col>\nNatalie Behrman\nSadaf Baig\n<col:255,128,128,128>Ст. менеджер, маркетинговые альянсы</col>\nKatie Schibler\n<col:255,128,128,128>Менеджер маркетинговых программ</col>\nAndrew Adams\n<col:255,128,128,128>Менеджер бренд-альянсов</col>\nJill Erb\n<col:255,128,128,128>Специалист бренд-альянсов</col>\nTheresa Custodio\n<col:255,128,128,128>Специалист медиапартнёрств</col>\nBrian Gauld\n<col:255,128,128,128>Директор, канальный маркетинг и события</col>\nJoby Hirschfeld\n\n
56	<col:255,128,128,128>Ст. менеджер событий</col>\nLori Chase\n<col:255,128,128,128>Ст. специалист событий</col>\nAlyson Arrastio\nMizpah Brown-Rich\n<col:255,128,128,128>Ст. менеджер креативных служб</col>\nJack Siler\n<col:255,128,128,128>Менеджер креативных служб</col>\nAlicia Beam\nMiguel Godinez\nJoseph Chan\n<col:255,128,128,128>Специалист креативных служб</col>\nLarissa Gamarra\nBlanca Hernandez\nMichelle Walker\n\n
57	<col:255,128,128,128>Менеджер креативных материалов</col>\nTed Jalbert\n<col:255,128,128,128>Менеджер/продюсер видео</col>\nMichael Brynteson\n<col:255,128,128,128>Креативные службы</col>\nVictor Costa\nRichard Jones\nKenneth Warren\nShivam Bhatt\nElizabeth Osborne\n<col:255,128,128,128>Ст. директор, PlayStation標Network</col>\nSusan Panico\n<col:255,128,128,128>Операционный директор, PlayStation標Network</col>\nEric Lempel\n\n
58	<col:255,128,128,128>Директор веб-стратегии и сервисов</col>\nOlivier Naimi\n<col:255,128,128,128>Ст. менеджер веб-стратегии и сервисов</col>\nMichael Vernik\n<col:255,128,128,128>Менеджер программ лояльности</col>\nChris Hagedorn\n<col:255,128,128,128>Веб-продюсер</col>\nCyril Tano\n<col:255,128,128,128>Специалист веб-программ</col>\nShelli Griss\n<col:255,128,128,128>Ст. проект-менеджер, PlayStation標Network</col>\nVivek Chandran\n<col:255,128,128,128>Проект-менеджеры, PlayStation標Network</col>\nCindy De Guzman\n\n
59	<col:255,128,128,128>Ассоц. проект-менеджер, PlayStation標Network</col>\nMary Wilson\n<col:255,128,128,128>Ст. менеджер, PlayStation標Store</col>\nGrace Chen\n<col:255,128,128,128>Ст. специалист, PlayStation標Store</col>\nRommel Hernandez\n<col:255,128,128,128>Специалист, PlayStation標Store</col>\nKristi Fernandez\n<col:255,128,128,128>Ст. менеджер контент-операций</col>\nJen Woldman\n<col:255,128,128,128>Менеджер контент-операций</col>\nMara Baliwag\n<col:255,128,128,128>Ассоц. проект-менеджер контент-операций</col>\nNick Colberg\n\n
60	<col:255,128,128,128>Специалист контент-операций</col>\nJae Woo\nBeum-Ho Chung\nMichael Redona\nJacob Arcelona\n<col:255,128,128,128>Креативная команда PlayStation標Network</col>\nJeffry Eaton\nChristopher Cabcabin\nHoa Nguyen\n<col:255,128,128,128>Ассоц. веб-дизайнер</col>\nSara Kwan\n<col:255,128,128,128>Координатор размещений</col>\nJennifer Cho\n<col:255,128,128,128>Координатор ресурсов, PlayStation標Network</col>\nJesse Graffam\n\n
61	<col:255,255,153,0>Юротдел SCEA</col>\n<col:255,128,128,128>Ст. юрисконсульт, право и бизнес</col>\nJames Riordan\n<col:255,128,128,128>Старший помощник юриста</col>\nKarla Quiros\n<col:255,128,128,128>Помощник юриста</col>\nFlorence Chan\n\n\n\n\n\n\n
62	<col:255,128,128,128>Директор, PlayStation標Home</col>\nJack Buser\n<col:255,128,128,128>PlayStation標Home</col>\nKatherine de Leon\nKC Coleman\nChris Mahoney\nHeidi Anspaugh\nMatthew Harper\nJennifer Barker\n\n\n\n\n\n\n
63	<col:255,255,153,0>ОСОБАЯ БЛАГОДАРНОСТЬ</col>\nСупругам, вторым половинкам и\nсемьям команды разработки.\n\nХотим поблагодарить каждого в Sony Computer\nEntertainment America за вклад, поддержку\nи преданность успеху No Heroes Allowed,\nособенно команду топ-менеджмента:\nKaz Hirai, Jack Tretton, Jim Bass, Glenn Nash,\nRiley Russell, Peter Dille, Phil Rosenberg, Sally Buchanan\nRob Dyer, Tim Bender и Shuhei Yoshida.\n\n\n\n
