Spawn 2 Phantom Ladies	Призови 2 призрак-леди
Spawn 3 Phantom Ladies	Призови 3 призрак-леди
Stock the highlighted block with nutrients	Набей выделенный блок пищей
Get a Lilith to be born	Дождись рождения лилит
Get 2 Liliths to be born	Дождись рождения 2 лилит
Get 3 Liliths to be born	Дождись рождения 3 лилит
Spawn a Thunderhead	Призови грозовую тучу
Spawn 2 Thunderheads	Призови 2 грозовые тучи
Spawn a Brahzuzu	Призови браззузу
Spawn 2 Brahzuzus	Призови 2 браззузу
Spawn a Dvagon	Призови двагона
Spawn 2 Dvagons	Призови 2 двагона
Spawn 3 Dvagons	Призови 3 двагона
Grow a Water Lily Bud	Вырасти бутон кувшинки
Grow 3 Water Lily Buds	Вырасти 3 бутона кувшинки
Grow 2 Water Lily Buds	Вырасти 2 бутона кувшинки
Spawn a Lorelei	Призови лорелею
Spawn 2 Loreleis	Призови 2 лорелеи
Stock the highlighted block with mana	Набей выделенный блок маной
Spawn a Wookiemon and a Diabro	Призови вукимона и диабро
Spawn a Golem and a Talos	Призови голема и талоса
Spawn an Ash Lady and a Phantom Lady	Призови пепельную леди и призрак-леди
Spawn a Golem and an Ash Lady	Призови голема и пепельную леди
Spawn a Wookiemon and a Golem	Призови вукимона и голема
Spawn a Wookiemon and an Ash Lady	Призови вукимона и пепельную леди
Spawn a Diabro and a Talos	Призови диабро и талоса
Spawn a Diabro and a Phantom Lady	Призови диабро и призрак-леди
Spawn a Talos and a Phantom Lady	Призови талоса и призрак-леди
Find the diggable block	Найди копаемый блок
Protect the Pupae	Защити куколок
Scoop the Poop	Собери какашки
Guide the Slimemosses to make an Omnom	Направь слизьмохов, сделай омнома
Spawn a Majin	Призови мазина
Spawn 2 Majins	Призови 2 мазина
Spawn 3 Majins	Призови 3 мазина
Spawn a Lizardman and a Dragon	Призови ящера и дракона
Spawn 2 Lizardmen and 2 Dragons	Призови 2 ящера и 2 дракона
Spawn 3 Lizardmen and 3 Dragons	Призови 3 ящера и 3 дракона
Spawn a Hurtle	Призови шипастика
Spawn 2 Hurtles	Призови 2 шипастика
Spawn 3 Hurtles	Призови 3 шипастика
Find the Not-So-Blue Whale	Найди не-такого-синего кита
Awaken the Lesser Liliths	Разбуди младших лилит
Feed the Hurtle so it lays an egg	Покорми шипастика — пусть несёт яйцо
Stock the highlighted block with nutrients and mana	Набей выделенный блок пищей и маной
Spawn an Idle Wookiemon and a Brahzuzu	Призови ленивого вукимона и браззузу
Spawn a Blob and a Majin	Призови блоба и мазина
Spawn an Ash Lady and a Crystal Lady	Призови пепельную леди и кристальную леди
Spawn a Blob and a Scary Lady	Призови блоба и страшную леди
Spawn an Idle Wookiemon and a Blob	Призови ленивого вукимона и блоба
Spawn an Idle Wookiemon and a Scary Lady	Призови ленивого вукимона и страшную леди
Spawn a Brahzuzu and a Majin	Призови браззузу и мазина
Spawn a Brahzuzu and a Crystal Lady	Призови браззузу и кристальную леди
Spawn a Majin and a Crystal Lady	Призови мазина и кристальную леди
Spawn 2 Aquachnids and 2 Thunderheads	Призови 2 водяных паука и 2 грозовые тучи
Spawn 3 Aquachnids and 3 Thunderheads	Призови 3 водяных паука и 3 грозовые тучи
Spawn 4 Aquachnids and 4 Thunderheads	Призови 4 водяных паука и 4 грозовые тучи
Grow a Mana Lily Bud	Вырасти бутон мана-лилии
Grow a Water Lily Bud and a Mana Lily Bud	Вырасти бутон кувшинки и бутон мана-лилии
Grow 2 Mana Lily Buds	Вырасти 2 бутона мана-лилии
Sprout away!	Расти, росток!
Make a Pheromone	Сделай феромон
Make 3 Pheromones	Сделай 3 феромона
Make 5 Pheromones	Сделай 5 феромонов
Make 8 Pheromones	Сделай 8 феромонов
Guard the Lizardman eggs	Охраняй яйца ящеров
Find and cull the Pure Omnom	Найди и прореди чистого омнома
Grow 2 Water Lilies	Вырасти 2 кувшинки
Grow 3 Water Lilies	Вырасти 3 кувшинки
Grow 4 Water Lilies	Вырасти 4 кувшинки
Save the beat-up-on Brahzuzu	Спаси побитого браззузу
Save the Scary Lady in distress	Спаси страшную леди в беде
Save the Crystal Lady in danger of cracking up	Спаси кристальную леди, пока не треснула
Save the Brahzuzu and the Crystal Lady	Спаси браззузу и кристальную леди
Spawn 10 Omnoms and 10 Liliths	Призови 10 омномов и 10 лилит
Spawn 11 Omnoms and 11 Liliths	Призови 11 омномов и 11 лилит
Spawn 12 Omnoms and 12 Liliths	Призови 12 омномов и 12 лилит
Spawn 13 Omnoms and 13 Liliths	Призови 13 омномов и 13 лилит
Spawn 14 Omnoms and 14 Liliths	Призови 14 омномов и 14 лилит
Spawn 15 Omnoms and 15 Liliths	Призови 15 омномов и 15 лилит
Spawn 16 Omnoms and 16 Liliths	Призови 16 омномов и 16 лилит
Spawn 17 Omnoms and 17 Liliths	Призови 17 омномов и 17 лилит
Spawn 18 Omnoms and 18 Liliths	Призови 18 омномов и 18 лилит
Collect 8 Hurtle Shells	Собери 8 панцирей шипастика
Collect 9 Hurtle Shells	Собери 9 панцирей шипастика
Collect 10 Hurtle Shells	Собери 10 панцирей шипастика
Collect 11 Hurtle Shells	Собери 11 панцирей шипастика
Collect 12 Hurtle Shells	Собери 12 панцирей шипастика
Collect 13 Hurtle Shells	Собери 13 панцирей шипастика
Collect 14 Hurtle Shells	Собери 14 панцирей шипастика
Collect 15 Hurtle Shells	Собери 15 панцирей шипастика
Collect 20 Hurtle Shells	Собери 20 панцирей шипастика
Cull monsters and spawn a Diabro	Прореди гадов и призови диабро
Cull monsters and spawn a Talos	Прореди гадов и призови талоса
Cull monsters and spawn a Brahzuzu	Прореди гадов и призови браззузу
Cull monsters and spawn a Majin	Прореди гадов и призови мазина
Make 10 Slimeblossoms bloom	Распусти 10 слизьцветов
Make 11 Slimeblossoms bloom	Распусти 11 слизьцветов
Make 12 Slimeblossoms bloom	Распусти 12 слизьцветов
Make 13 Slimeblossoms bloom	Распусти 13 слизьцветов
Make 14 Slimeblossoms bloom	Распусти 14 слизьцветов
Make 15 Slimeblossoms bloom	Распусти 15 слизьцветов
Make 16 Slimeblossoms bloom	Распусти 16 слизьцветов
Make 18 Slimeblossoms bloom	Распусти 18 слизьцветов
Make 20 Slimeblossoms bloom	Распусти 20 слизьцветов
Show me a Leviathomnom	Покажи мне левиафомнома
Show me an American Slimemoss	Покажи мне янки-слизьмоха
Show me an American Giantmoss	Покажи мне янки-гигантомоха
Show me a Paramerican Moss	Покажи мне параянки-мох
Let the Fluff fly!	Пусть пух летит!
Show me a Bout Lilith	Покажи мне бойцовскую лилит
Which of the following isn't a blood type?	Что из этого не группа крови?
What's the 10th letter of the alphabet?	Какая 10-я буква алфавита?
What is 1000 in Roman numerals?	Как 1000 римскими цифрами?
Which is a multiple of 3?	Что кратно 3?
Which is a prime number?	Какое число простое?
How much horde power does 1 Slimemoss add?	Сколько мощи орды даёт 1 слизьмох?
What's the attack power of a Slimeblossom?	Какая сила атаки у слизьцвета?
What's the magic defense of a Lizardman?	Какая маг. защита у ящера?
Spawn 20 Omnoms	Призови 20 омномов
Spawn 21 Omnoms	Призови 21 омнома
Spawn 22 Omnoms	Призови 22 омнома
Spawn 23 Omnoms	Призови 23 омнома
Spawn 24 Omnoms	Призови 24 омнома
Spawn 25 Omnoms	Призови 25 омномов
Spawn 26 Omnoms	Призови 26 омномов
Spawn 27 Omnoms	Призови 27 омномов
Spawn 30 Omnoms	Призови 30 омномов
Spawn 17 Thunderheads and 5 Lorelis	Призови 17 грозовых туч и 5 лорелей
Spawn 18 Thunderheads and 5 Lorelis	Призови 18 грозовых туч и 5 лорелей
Spawn 19 Thunderheads and 5 Lorelis	Призови 19 грозовых туч и 5 лорелей
Spawn 20 Thunderheads and 6 Lorelis	Призови 20 грозовых туч и 6 лорелей
Spawn 21 Thunderheads and 7 Lorelis	Призови 21 грозовую тучу и 7 лорелей
Spawn 22 Thunderheads and 8 Lorelis	Призови 22 грозовые тучи и 8 лорелей
Spawn 23 Thunderheads and 9 Lorelis	Призови 23 грозовые тучи и 9 лорелей
Spawn 24 Thunderheads and 10 Lorelis	Призови 24 грозовые тучи и 10 лорелей
Spawn 25 Thunderheads and 12 Lorelis	Призови 25 грозовых туч и 12 лорелей
Get a Slimeblossom to bloom	Дай слизьцвету расцвести
Spawn a Wookiemon and a Majin	Призови вукимона и мазина
Spawn a Golem and a Crystal Lady	Призови голема и кристальную леди
Spawn an Ash Lady and a Brahzuzu	Призови пепельную леди и браззузу
Spawn a Diabro and a Blob	Призови диабро и блоба
Spawn a Talos and a Scary Lady	Призови талоса и страшную леди
Spawn an Idle Wookiemon and a Majin	Призови ленивого вукимона и мазина
Spawn a Scary Lady and a Crystal Lady	Призови страшную леди и кристальную леди
Spawn 20 Lizardmen	Призови 20 ящеров
Spawn 21 Lizardmen	Призови 21 ящера
Spawn 22 Lizardmen	Призови 22 ящера
Spawn 23 Lizardmen	Призови 23 ящера
Spawn 24 Lizardmen	Призови 24 ящера
Spawn 25 Lizardmen	Призови 25 ящеров
Spawn 28 Lizardmen	Призови 28 ящеров
Spawn 29 Lizardmen	Призови 29 ящеров
Spawn 30 Lizardmen	Призови 30 ящеров
Make 2 mutations happen	Сделай 2 мутации
Show me a Slimederella Moss	Покажи мне слизереллу
Plan ahead to collect the water and spawn a Hurtle	Спланируй: собери воду и призови шипастика
Plan ahead to collect the water and spawn a Lorelei	Спланируй: собери воду и призови лорелею
Collect the water and spawn a Hurtle and a Lorelei	Собери воду и призови шипастика и лорелею
Dig like crazy without spawning more than 2 Dragons	Копай как бешеный, но не больше 2 драконов
Protect the Omnom Pupae	Защити куколок-омномов
Make a Sprout sprout!	Дай ростку прорасти!
Sprout for all you are worth!	Расти изо всех сил!
Spawn a Venomnom and a Lizard Knight	Призови веномнома и ящера-рыцаря
Spawn 2 Venomnoms and 2 Lizard Knights	Призови 2 веномнома и 2 ящера-рыцаря
Spawn 3 Venomnoms and 3 Lizard Knights	Призови 3 веномнома и 3 ящера-рыцаря
Spawn 4 Venomnoms and 4 Lizard Knights	Призови 4 веномнома и 4 ящера-рыцаря
Spawn 5 Venomnoms and 5 Lizard Knights	Призови 5 веномномов и 5 ящеров-рыцарей
Get 2 Totem Poles built	Поставь 2 тотема
Get 3 Totem Poles built	Поставь 3 тотема
Get a Totem Pole Head built	Поставь голову тотема
Get 2 Totem Pole Heads built	Поставь 2 головы тотема
Get 3 Totem Pole Heads built	Поставь 3 головы тотема
Show me a Long Dragon	Покажи мне длинного дракона
Show me a Hell Dragon	Покажи мне адского дракона
Show me a Hydra	Покажи мне гидру
Guide the Elementals and spawn a Brahzuzu	Направь духов и призови браззузу
Dig like crazy without spawning more than 2 Omnoms	Копай как бешеный, но не больше 2 омномов
Guide the Slimemosses to make 4 Omnoms	Направь слизьмохов, сделай 4 омнома
